Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16474744k(10579832k free), swap 22504056k(15672108k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
158.295: [GC (Allocation Failure) 158.295: [ParNew: 81499K->0K(92160K), 0.0008974 secs] 82917K->1418K(194560K), 0.0009702 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
160.306: [GC (Allocation Failure) 160.306: [ParNew: 81499K->0K(92160K), 0.0005789 secs] 82917K->1418K(194560K), 0.0006543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
161.316: [GC (Allocation Failure) 161.316: [ParNew: 81499K->0K(92160K), 0.0006137 secs] 82917K->1418K(194560K), 0.0006777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
163.333: [GC (Allocation Failure) 163.333: [ParNew: 81499K->0K(92160K), 0.0009074 secs] 82917K->1418K(194560K), 0.0009896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
165.338: [GC (Allocation Failure) 165.338: [ParNew: 81499K->0K(92160K), 0.0006827 secs] 82917K->1418K(194560K), 0.0007636 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
166.349: [GC (Allocation Failure) 166.349: [ParNew: 81499K->0K(92160K), 0.0009312 secs] 82917K->1418K(194560K), 0.0010096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
168.362: [GC (Allocation Failure) 168.362: [ParNew: 81499K->0K(92160K), 0.0005972 secs] 82917K->1418K(194560K), 0.0006734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
169.375: [GC (Allocation Failure) 169.375: [ParNew: 81499K->0K(92160K), 0.0008235 secs] 82917K->1418K(194560K), 0.0009255 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
171.394: [GC (Allocation Failure) 171.394: [ParNew: 81499K->0K(92160K), 0.0007006 secs] 82917K->1418K(194560K), 0.0007758 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
173.400: [GC (Allocation Failure) 173.400: [ParNew: 81499K->0K(92160K), 0.0011083 secs] 82917K->1418K(194560K), 0.0011888 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
174.413: [GC (Allocation Failure) 174.413: [ParNew: 81499K->0K(92160K), 0.0011938 secs] 82917K->1418K(194560K), 0.0013030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
176.425: [GC (Allocation Failure) 176.425: [ParNew: 81499K->0K(92160K), 0.0007832 secs] 82917K->1418K(194560K), 0.0008831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
177.440: [GC (Allocation Failure) 177.440: [ParNew: 81499K->0K(92160K), 0.0009854 secs] 82917K->1418K(194560K), 0.0011036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
179.458: [GC (Allocation Failure) 179.459: [ParNew: 81499K->0K(92160K), 0.0016428 secs] 82917K->1418K(194560K), 0.0018036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
180.464: [GC (Allocation Failure) 180.464: [ParNew: 81499K->0K(92160K), 0.0015198 secs] 82917K->1418K(194560K), 0.0016488 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
182.479: [GC (Allocation Failure) 182.479: [ParNew: 81499K->0K(92160K), 0.0013083 secs] 82917K->1418K(194560K), 0.0014262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
184.486: [GC (Allocation Failure) 184.486: [ParNew: 81499K->0K(92160K), 0.0008510 secs] 82917K->1418K(194560K), 0.0009276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
185.498: [GC (Allocation Failure) 185.498: [ParNew: 81499K->0K(92160K), 0.0009080 secs] 82917K->1418K(194560K), 0.0009888 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
187.511: [GC (Allocation Failure) 187.511: [ParNew: 81499K->0K(92160K), 0.0010013 secs] 82917K->1418K(194560K), 0.0010803 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
188.523: [GC (Allocation Failure) 188.524: [ParNew: 81499K->0K(92160K), 0.0010173 secs] 82917K->1418K(194560K), 0.0010982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
190.536: [GC (Allocation Failure) 190.536: [ParNew: 81499K->0K(92160K), 0.0010300 secs] 82917K->1418K(194560K), 0.0011199 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
191.558: [GC (Allocation Failure) 191.558: [ParNew: 81499K->0K(92160K), 0.0014239 secs] 82917K->1418K(194560K), 0.0015550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
193.570: [GC (Allocation Failure) 193.570: [ParNew: 81499K->0K(92160K), 0.0016929 secs] 82917K->1418K(194560K), 0.0018645 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
195.596: [GC (Allocation Failure) 195.596: [ParNew: 81499K->0K(92160K), 0.0010689 secs] 82917K->1418K(194560K), 0.0011619 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
196.600: [GC (Allocation Failure) 196.600: [ParNew: 81499K->0K(92160K), 0.0008412 secs] 82917K->1418K(194560K), 0.0009281 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
198.608: [GC (Allocation Failure) 198.608: [ParNew: 81499K->0K(92160K), 0.0009956 secs] 82917K->1418K(194560K), 0.0010776 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
199.633: [GC (Allocation Failure) 199.633: [ParNew: 81499K->0K(92160K), 0.0010779 secs] 82917K->1418K(194560K), 0.0011588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
201.636: [GC (Allocation Failure) 201.636: [ParNew: 81499K->0K(92160K), 0.0009954 secs] 82917K->1418K(194560K), 0.0010726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
203.647: [GC (Allocation Failure) 203.647: [ParNew: 81499K->0K(92160K), 0.0006841 secs] 82917K->1418K(194560K), 0.0007592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
204.662: [GC (Allocation Failure) 204.662: [ParNew: 81499K->0K(92160K), 0.0013634 secs] 82917K->1418K(194560K), 0.0015222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
